emp_no,first_name,last_name,to_date,title,from_date
264939,Bogdan,Bahi,9999-01-01,Engineer,1985-02-09
265794,Miquel,Halloran,9999-01-01,Staff,1994-01-14
265794,Miquel,Halloran,9999-01-01,Senior Staff,2002-01-14
265875,Fan,Marsiglia,9999-01-01,Senior Engineer,1997-09-03
265875,Fan,Marsiglia,9999-01-01,Engineer,1989-09-03
266249,Sumant,Nishimukai,9999-01-01,Senior Staff,1991-03-28
270084,Ulises,Frolund,9999-01-01,Staff,1986-07-26
270084,Ulises,Frolund,9999-01-01,Senior Staff,1993-07-26
274813,Yefim,Pettey,9999-01-01,Staff,1993-08-07
274813,Yefim,Pettey,9999-01-01,Senior Staff,2000-08-07
275801,Ayakannu,Heinisuo,9999-01-01,Senior Staff,1986-06-28
276472,Hideyuki,Flanders,9999-01-01,Senior Engineer,1994-11-10
276472,Hideyuki,Flanders,9999-01-01,Engineer,1988-11-10
277362,Uzi,Kugler,9999-01-01,Senior Staff,1991-01-12
280525,Kish,Herbst,9999-01-01,Staff,1996-08-18
282333,Nahla,Serdy,9999-01-01,Staff,1993-09-09
282333,Nahla,Serdy,9999-01-01,Senior Staff,2000-09-09
284711,Martijn,Azevdeo,9999-01-01,Senior Engineer,1988-02-10
289687,Fai,Maccarone,9999-01-01,Staff,1985-10-30
289687,Fai,Maccarone,9999-01-01,Senior Staff,1993-10-30
292210,Masaru,Huhdanpaa,9999-01-01,Senior Engineer,2001-11-23
292210,Masaru,Huhdanpaa,9999-01-01,Engineer,1996-11-23
294461,Siddarth,Rosiles,9999-01-01,Senior Engineer,1985-11-18
294652,Hironobu,Brodie,9999-01-01,Senior Engineer,1993-09-17
294652,Hironobu,Brodie,9999-01-01,Engineer,1985-09-17
295236,Kauko,Fujisawa,9999-01-01,Senior Engineer,1992-09-12
295236,Kauko,Fujisawa,9999-01-01,Engineer,1987-09-13
296664,Dipayan,Geffroy,9999-01-01,Senior Engineer,1987-09-17
298577,Florina,Litecky,9999-01-01,Staff,1985-12-02
298577,Florina,Litecky,9999-01-01,Senior Staff,1994-12-02
400046,Hilari,Christ,9999-01-01,Senior Staff,1991-01-19
401278,Oguz,Schurmann,9999-01-01,Engineer,1995-11-11
401278,Oguz,Schurmann,9999-01-01,Assistant Engineer,1986-11-11
402718,Jeanna,Rettelbach,9999-01-01,Senior Engineer,1996-02-14
402718,Jeanna,Rettelbach,9999-01-01,Engineer,1990-02-14
407522,Tommaso,Raczkowsky,9999-01-01,Staff,1996-08-29
409898,Divier,Ishibashi,9999-01-01,Senior Engineer,1994-09-22
409898,Divier,Ishibashi,9999-01-01,Engineer,1989-09-22
414027,Tadanori,Msuda,9999-01-01,Senior Engineer,1997-11-06
414027,Tadanori,Msuda,9999-01-01,Engineer,1988-11-06
414662,Ipke,Schneeberger,9999-01-01,Senior Engineer,1994-09-20
414662,Ipke,Schneeberger,9999-01-01,Engineer,1985-09-20
415563,Mrinalini,Bierbaum,9999-01-01,Senior Engineer,1994-03-12
415563,Mrinalini,Bierbaum,9999-01-01,Engineer,1986-03-12
416877,Gio,Orsini,9999-01-01,Staff,1988-12-07
416877,Gio,Orsini,9999-01-01,Senior Staff,1993-12-07
418239,Josyula,Motley,9999-01-01,Senior Engineer,1992-09-05
418247,Oscar,Oppitz,9999-01-01,Staff,1995-06-30
418247,Oscar,Oppitz,9999-01-01,Senior Staff,2001-06-29
418860,Ymte,Dalton,9999-01-01,Staff,1992-11-22
418860,Ymte,Dalton,9999-01-01,Senior Staff,1997-11-22
420086,Susuma,Kitsuregawa,9999-01-01,Senior Engineer,1993-05-28
420086,Susuma,Kitsuregawa,9999-01-01,Engineer,1985-05-28
420694,Frazer,Barbanera,9999-01-01,Staff,1986-11-04
420694,Frazer,Barbanera,9999-01-01,Senior Staff,1991-11-04
420732,Willard,Morrin,9999-01-01,Staff,1996-05-27
420732,Willard,Morrin,9999-01-01,Senior Staff,2001-05-27
420759,Raimond,Solovay,9999-01-01,Staff,1997-10-03
420877,Khosrow,Erez,9999-01-01,Staff,1990-02-11
420877,Khosrow,Erez,9999-01-01,Senior Staff,1996-02-11
421755,Shichao,Thiria,9999-01-01,Senior Engineer,2001-01-10
421755,Shichao,Thiria,9999-01-01,Engineer,1995-01-11
421755,Shichao,Thiria,9999-01-01,Assistant Engineer,1989-01-11
422146,Kenton,Miara,9999-01-01,Engineer,1999-05-14
422783,Jagoda,Uhrig,9999-01-01,Engineer,1995-09-01
423204,Uma,Stranks,9999-01-01,Staff,1991-09-13
423204,Uma,Stranks,9999-01-01,Senior Staff,1996-09-12
426818,Gaurav,Fendler,9999-01-01,Staff,1992-02-15
426818,Gaurav,Fendler,9999-01-01,Senior Staff,1997-02-14
427313,Utpal,Kemmerer,9999-01-01,Staff,1986-12-04
427313,Utpal,Kemmerer,9999-01-01,Senior Staff,1991-12-04
428219,Ghassan,Androutsos,9999-01-01,Staff,1987-12-26
428219,Ghassan,Androutsos,9999-01-01,Senior Staff,1993-12-25
429481,Subhada,Emmerich,9999-01-01,Engineer,1996-03-06
429381,Limsoon,Roohalamini,9999-01-01,Staff,1986-11-26
429381,Limsoon,Roohalamini,9999-01-01,Senior Staff,1992-11-25
429703,Ung,Honglei,9999-01-01,Staff,1986-09-02
429703,Ung,Honglei,9999-01-01,Senior Staff,1993-09-02
430891,Khalil,Gien,9999-01-01,Senior Engineer,1991-08-06
431882,Hideo,Varman,9999-01-01,Engineer,1997-06-19
432956,Qunsheng,Birrer,9999-01-01,Staff,1986-05-13
432956,Qunsheng,Birrer,9999-01-01,Senior Staff,1994-05-13
435588,Genta,Pepe,9999-01-01,Staff,1994-04-12
435588,Genta,Pepe,9999-01-01,Senior Staff,2002-04-12
435774,Olivera,Bharadwaj,9999-01-01,Staff,1992-04-01
435774,Olivera,Bharadwaj,9999-01-01,Senior Staff,2001-04-01
436797,Ohad,Henders,9999-01-01,Staff,1990-11-03
436797,Ohad,Henders,9999-01-01,Senior Staff,1996-11-02
438557,Lidong,Swist,9999-01-01,Engineer,1999-09-16
439905,Kousuke,Levasseur,9999-01-01,Staff,1990-03-16
439905,Kousuke,Levasseur,9999-01-01,Senior Staff,1996-03-15
440642,Snehasis,Kalsbeek,9999-01-01,Staff,1988-01-06
440642,Snehasis,Kalsbeek,9999-01-01,Senior Staff,1997-01-05
441536,Chinho,Collette,9999-01-01,Senior Engineer,1990-08-07
442002,Ravishankar,Baig,9999-01-01,Staff,1992-03-17
442002,Ravishankar,Baig,9999-01-01,Senior Staff,2000-03-17
447613,Paris,Restivo,9999-01-01,Senior Engineer,1991-11-21
447613,Paris,Restivo,9999-01-01,Engineer,1986-11-21
447877,Make,Heuser,9999-01-01,Senior Engineer,1997-07-02
447877,Make,Heuser,9999-01-01,Engineer,1988-07-02
448918,Chiradeep,Arlazarov,9999-01-01,Senior Engineer,1998-10-06
448918,Chiradeep,Arlazarov,9999-01-01,Engineer,1989-10-06
450309,Gill,Orlowska,9999-01-01,Technique Leader,1986-12-25
451253,Jaihie,Ozeri,9999-01-01,Staff,1991-06-21
451253,Jaihie,Ozeri,9999-01-01,Senior Staff,1997-06-20
452957,Alair,Nanard,9999-01-01,Staff,1996-02-10
452982,Lobel,Aloia,9999-01-01,Senior Staff,1994-12-29
457146,Jinpo,Heyers,9999-01-01,Staff,1999-01-07
457776,Florian,Siepmann,9999-01-01,Senior Engineer,1996-12-20
457776,Florian,Siepmann,9999-01-01,Engineer,1987-12-21
461801,Sumali,Cooman,9999-01-01,Staff,1992-02-16
461801,Sumali,Cooman,9999-01-01,Senior Staff,2000-02-16
464284,Huiqun,Henders,9999-01-01,Senior Staff,1993-05-19
467392,Mariusz,Rikino,9999-01-01,Senior Engineer,2001-04-12
467392,Mariusz,Rikino,9999-01-01,Engineer,1995-04-13
467441,Margareta,Bondorf,9999-01-01,Senior Engineer,1994-11-07
467441,Margareta,Bondorf,9999-01-01,Engineer,1988-11-07
467918,Tsuneo,Skrikant,9999-01-01,Staff,1997-10-21
468360,Huei,Saoudi,9999-01-01,Technique Leader,1994-08-10
468659,Ranga,Lemarechal,9999-01-01,Senior Engineer,1997-11-05
468659,Ranga,Lemarechal,9999-01-01,Engineer,1989-11-05
469253,Baruch,Basawa,9999-01-01,Senior Engineer,2001-09-17
469253,Baruch,Basawa,9999-01-01,Engineer,1993-09-17
470472,Zhiguo,Staudhammer,9999-01-01,Senior Engineer,1991-12-03
470472,Zhiguo,Staudhammer,9999-01-01,Engineer,1985-12-03
471911,Arun,Zaccaria,9999-01-01,Engineer,1998-05-31
471911,Arun,Zaccaria,9999-01-01,Assistant Engineer,1990-05-31
473299,Khaled,Penn,9999-01-01,Staff,1992-05-19
473299,Khaled,Penn,9999-01-01,Senior Staff,1999-05-20
475258,Fumiyo,Feinberg,9999-01-01,Staff,1987-11-22
475258,Fumiyo,Feinberg,9999-01-01,Senior Staff,1995-11-22
476361,Doohun,Preusig,9999-01-01,Technique Leader,1985-04-13
477969,Bluma,Mundy,9999-01-01,Senior Engineer,2000-10-17
477969,Bluma,Mundy,9999-01-01,Engineer,1991-10-18
478218,Djenana,Erol,9999-01-01,Engineer,1999-01-31
479024,Ewing,Kalorkoti,9999-01-01,Engineer,1996-12-21
480178,Uinam,Rahier,9999-01-01,Staff,1991-02-10
480178,Uinam,Rahier,9999-01-01,Senior Staff,1996-02-10
480035,Sukumar,Georg,9999-01-01,Staff,1990-03-27
480035,Sukumar,Georg,9999-01-01,Senior Staff,1998-03-27
482335,Kwangyoen,Peck,9999-01-01,Engineer,1994-01-16
482905,Aral,Hebden,9999-01-01,Senior Staff,1991-09-10
483838,Sham,Kavanagh,9999-01-01,Assistant Engineer,1997-12-18
488707,Mihalis,Remmers,9999-01-01,Staff,1990-03-01
488707,Mihalis,Remmers,9999-01-01,Senior Staff,1996-02-29
490557,Luise,Vigier,9999-01-01,Senior Engineer,2001-07-01
490557,Luise,Vigier,9999-01-01,Engineer,1994-07-01
490568,Zita,Reistad,9999-01-01,Senior Engineer,1998-07-23
491079,Kwangsub,Keirsey,9999-01-01,Senior Engineer,1992-02-04
496970,Giordano,Maquelin,9999-01-01,Senior Engineer,1999-12-31
496978,Danco,Debuse,9999-01-01,Staff,1993-09-10
496978,Danco,Debuse,9999-01-01,Senior Staff,1998-09-10
497174,Sanjiv,Bressoud,9999-01-01,Senior Engineer,1998-04-27
497174,Sanjiv,Bressoud,9999-01-01,Engineer,1993-04-27
498635,Florian,Pezzoli,9999-01-01,Staff,1988-07-22
498635,Florian,Pezzoli,9999-01-01,Senior Staff,1997-07-22
499260,Danae,Honglei,9999-01-01,Engineer,1998-09-14
499495,Baoqiu,Kakkar,9999-01-01,Engineer,1999-08-30
10476,Kokou,Iisaka,9999-01-01,Staff,1987-09-20
10476,Kokou,Iisaka,9999-01-01,Senior Staff,1994-09-20
12155,Keiichiro,Glinert,9999-01-01,Senior Engineer,2001-09-16
12155,Keiichiro,Glinert,9999-01-01,Engineer,1993-09-16
14158,Caolyn,Setiz,9999-01-01,Staff,1990-02-06
14158,Caolyn,Setiz,9999-01-01,Senior Staff,1996-02-06
18617,Surveyors,Crouzet,9999-01-01,Staff,1989-04-24
18617,Surveyors,Crouzet,9999-01-01,Senior Staff,1998-04-24
19236,Elzbieta,Morris,9999-01-01,Senior Engineer,1993-07-12
19236,Elzbieta,Morris,9999-01-01,Engineer,1988-07-12
28988,Tua,Giveon,9999-01-01,Technique Leader,1998-09-09
29130,Xumin,Thorensen,9999-01-01,Staff,1998-04-26
29679,Kolar,Steenbeek,9999-01-01,Senior Engineer,1986-10-18
30007,Kousuke,Vecchio,9999-01-01,Senior Engineer,1999-02-23
30007,Kousuke,Vecchio,9999-01-01,Engineer,1990-02-23
31514,Harngdar,Schapire,9999-01-01,Senior Engineer,2001-11-09
31514,Harngdar,Schapire,9999-01-01,Engineer,1996-11-09
34533,Erzsebet,Shigei,9999-01-01,Senior Engineer,1991-01-21
34936,Bokyung,Stamatiou,9999-01-01,Technique Leader,1991-02-12
35798,Ulf,Oberman,9999-01-01,Senior Engineer,1997-03-15
38550,JoAnne,Baez,9999-01-01,Senior Engineer,1987-02-16
38593,Huei,Orsini,9999-01-01,Senior Engineer,1995-06-04
38593,Huei,Orsini,9999-01-01,Engineer,1986-06-04
39036,Changho,Cappelli,9999-01-01,Staff,1996-05-04
42911,Brigham,Eterovic,9999-01-01,Senior Engineer,1999-10-08
42911,Brigham,Eterovic,9999-01-01,Engineer,1994-10-08
44900,Mark,Schwaller,9999-01-01,Staff,1994-08-10
44900,Mark,Schwaller,9999-01-01,Senior Staff,2001-08-10
47515,Naraig,Jenevein,9999-01-01,Senior Engineer,1987-01-18
47708,Edwin,Haldar,9999-01-01,Senior Staff,1995-07-12
48882,Leen,Lamparter,9999-01-01,Senior Engineer,2001-06-07
48882,Leen,Lamparter,9999-01-01,Engineer,1993-06-07
50311,Mooi,Stafford,9999-01-01,Senior Engineer,1996-10-06
53278,Premsyl,Lortz,9999-01-01,Staff,1993-02-01
53278,Premsyl,Lortz,9999-01-01,Senior Staff,1999-02-01
54795,Sumant,Nergos,9999-01-01,Staff,1993-05-07
54795,Sumant,Nergos,9999-01-01,Senior Staff,2000-05-07
55799,Jianwen,Litzler,9999-01-01,Senior Engineer,1993-06-16
55799,Jianwen,Litzler,9999-01-01,Engineer,1987-06-17
58454,Ziya,Zambonelli,9999-01-01,Engineer,1999-06-29
59966,Steen,Salvesen,9999-01-01,Technique Leader,1993-02-03
61147,Leszek,Werthner,9999-01-01,Staff,1999-03-03
62033,Heeju,Cappelli,9999-01-01,Senior Engineer,1994-01-15
62033,Heeju,Cappelli,9999-01-01,Engineer,1987-01-15
69219,Shuky,Redmiles,9999-01-01,Senior Staff,1994-07-06
71685,Kristinn,Olano,9999-01-01,Senior Engineer,1989-10-03
72918,Takahira,Szilard,9999-01-01,Staff,1988-01-16
72918,Takahira,Szilard,9999-01-01,Senior Staff,1993-01-15
73743,Anneke,Bernardeschi,9999-01-01,Engineer,1999-11-01
74800,Yuuichi,Conde,9999-01-01,Senior Engineer,1999-03-08
74800,Yuuichi,Conde,9999-01-01,Engineer,1994-03-08
74800,Yuuichi,Conde,9999-01-01,Assistant Engineer,1989-03-08
79043,Katsuo,Hockney,9999-01-01,Technique Leader,1999-11-07
80067,Kazuhisa,Weiland,9999-01-01,Staff,1985-11-09
80067,Kazuhisa,Weiland,9999-01-01,Senior Staff,1991-11-09
82098,Poornachandra,Wilharm,9999-01-01,Senior Engineer,1998-04-20
82098,Poornachandra,Wilharm,9999-01-01,Engineer,1991-04-20
83544,Leaf,Baak,9999-01-01,Staff,1994-09-05
83544,Leaf,Baak,9999-01-01,Senior Staff,2001-09-05
84029,Babette,Eugenio,9999-01-01,Staff,1997-09-21
83941,Zsolt,Hagimont,9999-01-01,Staff,1996-10-08
83941,Zsolt,Hagimont,9999-01-01,Senior Staff,2001-10-08
84315,Kristina,Baumann,9999-01-01,Assistant Engineer,1996-09-26
85216,Ferdinand,Rosiles,9999-01-01,Senior Staff,1997-07-08
85445,Yongdong,Pollock,9999-01-01,Staff,1998-03-17
85874,Pasqua,Taubman,9999-01-01,Senior Staff,1986-06-23
86213,Kristine,Clemencon,9999-01-01,Staff,1990-04-22
86213,Kristine,Clemencon,9999-01-01,Senior Staff,1996-04-21
86546,Oldrich,Woycyznski,9999-01-01,Senior Engineer,1990-05-15
86546,Oldrich,Woycyznski,9999-01-01,Engineer,1985-05-15
86672,JoAnne,Anido,9999-01-01,Staff,1995-09-15
89806,Xiadong,Shinomoto,9999-01-01,Senior Engineer,2002-05-24
89806,Xiadong,Shinomoto,9999-01-01,Engineer,1997-05-24
89590,Guther,Rothenberg,9999-01-01,Staff,1991-08-08
89590,Guther,Rothenberg,9999-01-01,Senior Staff,2000-08-07
89941,Arnould,Weedman,9999-01-01,Senior Staff,1989-07-28
91229,Yahiko,Hebden,9999-01-01,Senior Engineer,2001-10-03
91229,Yahiko,Hebden,9999-01-01,Engineer,1996-10-03
91648,Dmitry,Msuda,9999-01-01,Staff,1988-10-22
91648,Dmitry,Msuda,9999-01-01,Senior Staff,1997-10-22
92577,Zhanqiu,Farrow,9999-01-01,Assistant Engineer,1999-01-10
92920,Huei,Hutter,9999-01-01,Senior Engineer,2000-01-29
92920,Huei,Hutter,9999-01-01,Engineer,1993-01-28
94416,Aran,Cesareni,9999-01-01,Senior Staff,1990-02-10
95509,Kristinn,Loncour,9999-01-01,Engineer,1995-02-08
96571,Kokou,Garrabrants,9999-01-01,Senior Engineer,1997-11-05
